,Ticker,company_name,sector,sub sector,series,date of listing,paid up value,market lot,isin number,face value
288,EVEREADY,Eveready Industries India Limited,Dry Cells,Dry Cells,EQ,27-Apr-05,5,1,INE128A01029,5
289,EVERESTIND,Everest Industries Limited,Cement,Cement - Products/Building Materials,EQ,29-Mar-95,10,1,INE295A01018,10
290,EXCEL,Excel Realty N Infra Limited,,,EQ,03-Aug-09,1,1,INE688J01023,1
291,EXCELINDUS,Excel Industries Limited,Agro,Pesticides/Agro Chemicals,EQ,16-Jun-04,5,1,INE369A01029,5
292,EXIDEIND,Exide Industries Limited,Auto Ancl,Auto Ancl - Batteries,EQ,17-Jun-03,1,1,INE302A01020,1
293,FACT,Fertilizers and Chemicals Travancore Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,12-Apr-95,10,1,INE188A01015,10
294,FCL,Fineotex Chemical Limited,Chemicals,Chemicals - Speciality - Others,EQ,15-Jan-15,2,1,INE045J01026,2
295,FCONSUMER,Future Consumer Limited,,,BE,04-Jul-13,6,1,INE220J01025,6
296,FDC,FDC Limited,Pharmaceuticals,Pharmaceuticals,EQ,07-Aug-97,1,1,INE258B01022,1
297,FEDERALBNK,The Federal Bank  Limited,Banks - Private,Finance - Banks - Private Sector,EQ,08-Feb-95,2,1,INE171A01029,2
298,FEL,Future Enterprises Limited,,,BE,05-Nov-01,2,1,INE623B01027,2
299,FELDVR,Future Enterprises Limited,,,BE,13-Feb-09,2,1,IN9623B01058,2
300,FIEMIND,Fiem Industries Limited,Auto Ancl,Auto Ancl - Equipment Lamp,EQ,19-Oct-06,10,1,INE737H01014,10
301,FILATEX,Filatex India Limited,Textiles,Manmade,EQ,29-Aug-11,2,1,INE816B01027,2
302,FINCABLES,Finolex Cables Limited,Cables,Cables - Telephone,EQ,15-Feb-95,2,1,INE235A01022,2
303,FINPIPE,Finolex Industries Limited,Petrochem,Petrochem - Polymers,EQ,08-Feb-95,2,1,INE183A01024,2
304,FLEXITUFF,Flexituff Ventures International Limited,Packaging,Packaging - Others,EQ,19-Oct-11,10,1,INE060J01017,10
305,FLFL,Future Lifestyle Fashions Limited,Textiles,Products,BE,01-Oct-13,2,1,INE452O01016,2
306,FMGOETZE,Federal-Mogul Goetze (India) Limited.,Auto Ancl,Auto Ancl - Engine Parts,EQ,08-Feb-95,10,1,INE529A01010,10
307,FMNL,Future Market Networks Limited,Misc,Miscellaneous,EQ,31-Dec-10,10,1,INE360L01017,10
308,FORTIS,Fortis Healthcare Limited,Medical,Hospitals & Medical Services,EQ,09-May-07,10,1,INE061F01013,10
309,FOSECOIND,Foseco India Limited,Chemicals,Chemicals - Organic - Others,EQ,05-May-03,10,1,INE519A01011,10
310,FSL,Firstsource Solutions Limited,Computers,IT Enabled Services,EQ,22-Feb-07,10,1,INE684F01012,10
311,GABRIEL,Gabriel India Limited,Auto Ancl,Auto Ancl - Shock Absorber,EQ,20-Apr-05,1,1,INE524A01029,1
312,GAEL,Gujarat Ambuja Exports Limited,Edible Oils,Edible Oils & Solvent Extraction,EQ,11-Oct-00,1,1,INE036B01030,1
313,GAIL,GAIL (India) Limited,Oil Drilling,Oil Drilling And Exploration,EQ,02-Apr-97,10,1,INE129A01019,10
314,GAL,Gyscoal Alloys Limited,Steel,Steel - Rolling,EQ,27-Oct-10,1,1,INE482J01021,1
315,GALLANTT,Gallantt Ispat Limited,Steel,Steel - Sponge Iron,EQ,04-Apr-06,10,1,INE297H01019,10
316,GANDHITUBE,Gandhi Special Tubes Limited,Steel,Steel - Tubes/Pipes,EQ,31-Jan-07,5,1,INE524B01027,5
317,GANECOS,Ganesha Ecosphere Limited,Textiles,Textiles - Processing/Texturising,EQ,09-Mar-15,10,1,INE845D01014,10
318,GANESHHOUC,Ganesh Housing Corporation Limited,Construction,Construction & Contracting - Housing,EQ,02-Mar-07,10,1,INE460C01014,10
319,GATI,GATI Limited,Couriers,Couriers,EQ,10-Oct-06,2,1,INE152B01027,2
320,GAYAPROJ,Gayatri Projects Limited,Infrastructure,Infrastructure - General,EQ,22-Aug-11,2,1,INE336H01023,2
321,GEECEE,GeeCee Ventures Limited,Chemicals,Chemicals - Agro Based,EQ,04-Oct-06,10,1,INE916G01016,10
322,GENESYS,Genesys International Corporation Limited,Computers,Computers - Software,EQ,23-Jan-03,5,1,INE727B01026,5
323,GENUSPAPER,Genus Paper & Boards Limited,Paper,Paper & Paper Boards,EQ,16-Feb-15,1,1,INE949P01018,1
324,GENUSPOWER,Genus Power Infrastructures Limited,Electronics,Electronics - Others,EQ,08-Jul-05,1,1,INE955D01029,1
325,GEOJITFSL,Geojit Financial Services Limited,,,EQ,01-Jul-05,1,1,INE007B01023,1
326,GEPIL,GE Power India Limited,,,EQ,19-Apr-00,10,1,INE878A01011,10
327,GESHIP,The Great Eastern Shipping Company Limited,Shipping,Shipping,EQ,27-Nov-06,10,1,INE017A01032,10
328,GET&D,GE T&D India Limited,,,EQ,30-Jun-08,2,1,INE200A01026,2
329,GHCL,GHCL Limited,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash,EQ,31-Jul-03,10,1,INE539A01019,10
330,GICHSGFIN,GIC Housing Finance Limited,Finance,Finance - Housing,EQ,08-May-96,10,1,INE289B01019,10
331,GILLANDERS,Gillanders Arbuthnot & Company Limited,Diversified,Diversified,EQ,14-Dec-09,10,1,INE047B01011,10
332,GILLETTE,Gillette India Limited,FMCG,Personal Care,EQ,30-Jul-03,10,1,INE322A01010,10
333,GINNIFILA,Ginni Filaments Limited,Textiles,Textiles - Spinning - Cotton Blended,EQ,10-May-95,10,1,INE424C01010,10
334,GIPCL,Gujarat Industries Power Company Limited,Power,Power - Generation/Distribution,EQ,08-Feb-95,10,1,INE162A01010,10
335,GKWLIMITED,GKW Limited,Misc,Fasteners,EQ,20-Jul-09,10,1,INE528A01020,10
336,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,EQ,15-Dec-00,10,1,INE159A01016,10
337,GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,EQ,07-Feb-00,1,1,INE935A01035,1
338,GLOBALVECT,Global Vectra Helicorp Limited,Misc,Services - Others,EQ,27-Oct-06,10,1,INE792H01019,10
339,GLOBUSSPR,Globus Spirits Limited,Beverages,Beverages - Alcoholic - Breweries,EQ,23-Sep-09,10,1,INE615I01010,10
340,GMBREW,GM Breweries Limited,Beverages,Beverages - Alcoholic - Distilleries,EQ,23-Aug-95,10,1,INE075D01018,10
341,GMDCLTD,Gujarat Mineral Development Corporation Limited,Mining,Mining/Minerals,EQ,17-Dec-97,2,1,INE131A01031,2
342,GMRINFRA,GMR Infrastructure Limited,Infrastructure,Infrastructure - General,EQ,21-Aug-06,1,1,INE776C01039,1
343,GNA,GNA Axles Limited,,,EQ,26-Sep-16,10,1,INE934S01014,10
344,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,17-May-95,10,1,INE113A01013,10
345,GOACARBON,Goa Carbon Limited,Petrochem,Petrochem - Others,EQ,05-Jun-07,10,1,INE426D01013,10
346,GOCLCORP,GOCL Corporation Limited,Chemicals,Chemicals - Others,EQ,26-Jun-14,2,1,INE077F01035,2
347,GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes,Cigarettes,EQ,24-Jul-96,2,1,INE260B01028,2
348,GODREJCP,Godrej Consumer Products Limited,FMCG,Personal Care,EQ,20-Jun-01,1,1,INE102D01028,1
349,GODREJIND,Godrej Industries Limited,Chemicals,Chemicals - Others,EQ,25-Feb-03,1,1,INE233A01035,1
350,GODREJPROP,Godrej Properties Limited,Construction,Construction and Contracting - Real Estate,EQ,05-Jan-10,5,1,INE484J01027,5
351,GOKUL,Gokul Refoils and Solvent Limited,Edible Oils,Edible Oils & Solvent Extraction,EQ,04-Jun-08,2,1,INE020J01029,2
352,GOKULAGRO,Gokul Agro Resources Limited,,,EQ,11-Mar-16,2,1,INE314T01025,2
353,GOLDIAM,Goldiam International Limited,Jewellery,Diamond Cutting/Precious Metals/Jewellery,EQ,29-Aug-05,2,1,INE025B01025,2
354,GOODLUCK,Goodluck India Limited,Steel,Steel,EQ,08-Jan-15,2,1,INE127I01024,2
355,GPIL,Godawari Power And Ispat limited,Steel,Steel - Sponge Iron,EQ,25-Apr-06,5,1,INE177H01021,5
356,GPPL,Gujarat Pipavav Port Limited,Shipping,Ship - Docks/Breaking/Repairs,EQ,09-Sep-10,10,1,INE517F01014,10
357,GPTINFRA,GPT Infraprojects Limited,,,EQ,11-Jul-16,10,1,INE390G01014,10
358,GRANULES,Granules India Limited,Pharmaceuticals,Pharmaceuticals,EQ,20-Jun-05,1,1,INE101D01020,1
359,GRAPHITE,Graphite India Limited,Electronics,Electrodes - Graphite,EQ,07-Feb-03,2,1,INE371A01025,2
360,GRASIM,Grasim Industries Limited,Diversified,Diversified,EQ,10-May-95,2,1,INE047A01021,2
361,GRAVITA,Gravita India Limited,Metals,Metals - Non Ferrous - Others,EQ,16-Nov-10,2,1,INE024L01027,2
362,GREAVESCOT,Greaves Cotton Limited,Engines,Engines,EQ,09-Sep-04,2,1,INE224A01026,2
363,GREENLAM,Greenlam Industries Limited,Misc,Miscellaneous,EQ,02-Mar-15,1,1,INE544R01021,1
364,GREENPLY,Greenply Industries Limited,Consumer Goods,Decoratives - Wood Based,EQ,06-Mar-96,1,1,INE461C01038,1
365,GREENPOWER,Orient Green Power Company Limited,Power,Power - Generation/Distribution,EQ,08-Oct-10,10,1,INE999K01014,10
366,GRINDWELL,Grindwell Norton Limited,Grinding Wheels,Abrasives/Grinding Wheels,EQ,11-Sep-06,5,1,INE536A01023,5
367,GROBTEA,The Grob Tea Company Limited,,,EQ,14-Jul-16,10,1,INE646C01018,10
368,GRPLTD,GRP Limited,Misc,Miscellaneous,EQ,12-Feb-15,10,1,INE137I01015,10
369,GSCLCEMENT,Gujarat Sidhee Cement Limited,Cement,North India,EQ,15-May-13,10,1,INE542A01039,10
370,GSFC,Gujarat State Fertilizers & Chemicals Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,06-Sep-95,2,1,INE026A01025,2
371,GSPL,Gujarat State Petronet Limited,Petrochem,Petrochem - Others,EQ,16-Feb-06,10,1,INE246F01010,10
372,GSS,GSS Infotech Limited,Computers,Computers - Software,EQ,07-Mar-08,10,1,INE871H01011,10
373,GTL,GTL Limited,Telecom,Telecommunications - Equipment,EQ,29-Mar-95,10,1,INE043A01012,10
374,GTLINFRA,GTL Infrastructure Limited,Telecom,Telecommunications - Equipment,EQ,09-Nov-06,10,1,INE221H01019,10
375,GUFICBIO,Gufic Biosciences Limited,Pharmaceuticals,Pharmaceuticals,EQ,19-Oct-04,1,1,INE742B01025,1
376,GUJALKALI,Gujarat Alkalies and Chemicals Limited,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash,EQ,07-Aug-97,10,1,INE186A01019,10
377,GUJAPOLLO,Gujarat Apollo Industries Limited,Engineering,Engineering - Heavy,EQ,04-Jun-07,10,1,INE826C01016,10
378,GUJGASLTD,Gujarat Gas Limited,Gas,Miscellaneous,EQ,15-Sep-15,2,1,INE844O01030,2
379,GULFOILLUB,Gulf Oil Lubricants India Limited,Chemicals,Chemicals - Others,EQ,31-Jul-14,2,1,INE635Q01029,2
380,GULFPETRO,GP Petroleums Limited,Chemicals,Chemicals - Others,EQ,24-Sep-04,5,1,INE586G01017,5
381,GULPOLY,Gulshan Polyols Limited,Chemicals,Chemicals - Others,EQ,28-Jan-15,1,1,INE255D01024,1
382,GVKPIL,GVK Power & Infrastructure Limited,Power,Power - Generation/Distribution,BE,27-Feb-06,1,1,INE251H01024,1
383,HARRMALAYA,Harrisons  Malayalam Limited,Tea-Coffee,Plantations - Tea & Coffee,EQ,08-Feb-95,10,1,INE544A01019,10
384,HATHWAY,Hathway Cable & Datacom Limited,Entertainment,Entertainment/Multi Media,EQ,25-Feb-10,2,1,INE982F01036,2
385,HATSUN,Hatsun Agro Product Limited,Food Processing,Indian,EQ,20-Jun-14,1,1,INE473B01035,1
386,HAVELLS,Havells India Limited,Electric,Electric Equipment - Switchgear/Circuit Breaker,EQ,21-Mar-01,1,1,INE176B01034,1
387,HBLPOWER,HBL Power Systems Limited,Electric,Electric Equipment - General,EQ,04-Jan-07,1,1,INE292B01021,1
388,HCC,Hindustan Construction Company Limited,Construction,Construction & Contracting - Civil,EQ,01-Apr-03,1,1,INE549A01026,1
389,HCG,Healthcare Global Enterprises Limited,,,EQ,30-Mar-16,10,1,INE075I01017,10
390,HCL-INSYS,HCL Infosystems Limited,Computers,Computers - Hardware,EQ,01-Jan-97,2,1,INE236A01020,2
391,HCLTECH,HCL Technologies Limited,Computers,Computers - Software,EQ,06-Jan-00,2,1,INE860A01027,2
392,HDFC,Housing Development Finance Corporation Limited,Finance,Finance - Housing,EQ,23-Oct-96,2,1,INE001A01036,2
